CustomerID,Count,Quarter,Satisfaction Score,Satisfaction Score Label,Customer Status,Churn Label,Churn Value,Churn Score,Churn Score Category,CLTV,CLTV Category,Churn Category,Churn Reason
CUST00050,1,Q3,1,Very Unsatisfied,Stayed,No,0,60,61-70,3179,3000-3499,,
CUST00051,1,Q3,3,Neutral,Stayed,No,0,64,61-70,5058,5000-5499,,
CUST00052,1,Q4,3,Neutral,Stayed,No,0,95,91-100,5410,5000-5499,,
CUST00053,1,Q4,3,Neutral,Churned,Yes,1,100,91-100,5568,5500-5999,Other,No longer needed
CUST00054,1,Q4,2,Unsatisfied,Churned,Yes,1,39,31-40,4053,4000-4499,Competitor,Moving
CUST00055,1,Q2,5,Very Satisfied,Stayed,No,0,14,11-20,6531,6500-6999,,
CUST00056,1,Q2,2,Unsatisfied,Stayed,No,0,97,91-100,5241,5000-5499,,
CUST00057,1,Q3,1,Very Unsatisfied,Stayed,No,0,24,21-30,2615,2500-2999,,
CUST00058,1,Q1,4,Satisfied,Churned,Yes,1,52,51-60,6283,6000-6499,Dissatisfaction,Poor service
CUST00059,1,Q3,5,Very Satisfied,Stayed,No,0,55,51-60,4128,4000-4499,,
CUST00060,1,Q1,4,Satisfied,Stayed,No,0,31,31-40,5774,5500-5999,,
CUST00061,1,Q4,1,Very Unsatisfied,Stayed,No,0,34,31-40,6231,6000-6499,,
CUST00062,1,Q4,4,Satisfied,Stayed,No,0,22,21-30,5208,5000-5499,,
CUST00063,1,Q3,4,Satisfied,Stayed,No,0,75,71-80,3157,3000-3499,,
CUST00064,1,Q1,1,Very Unsatisfied,Churned,Yes,1,32,31-40,6010,6000-6499,Price,Too expensive
CUST00065,1,Q2,1,Very Unsatisfied,Stayed,No,0,47,41-50,2232,2000-2499,,
CUST00066,1,Q3,1,Very Unsatisfied,Churned,Yes,1,74,71-80,5387,5000-5499,Attitude,Poor service
CUST00067,1,Q2,2,Unsatisfied,Stayed,No,0,27,21-30,2685,2500-2999,,
CUST00068,1,Q3,3,Neutral,Churned,Yes,1,89,81-90,5140,5000-5499,Dissatisfaction,Found better deal
CUST00069,1,Q3,1,Very Unsatisfied,Stayed,No,0,94,91-100,3705,3500-3999,,
CUST00070,1,Q3,1,Very Unsatisfied,Stayed,No,0,37,31-40,4104,4000-4499,,
CUST00071,1,Q1,4,Satisfied,Stayed,No,0,36,31-40,5724,5500-5999,,
CUST00072,1,Q2,3,Neutral,Stayed,No,0,2,1-10,5303,5000-5499,,
CUST00073,1,Q2,2,Unsatisfied,Stayed,No,0,82,81-90,6661,6500-6999,,
CUST00074,1,Q4,1,Very Unsatisfied,Stayed,No,0,74,71-80,4156,4000-4499,,
CUST00075,1,Q2,3,Neutral,Stayed,No,0,39,31-40,6583,6500-6999,,
CUST00076,1,Q1,4,Satisfied,Stayed,No,0,31,31-40,2758,2500-2999,,
CUST00077,1,Q2,4,Satisfied,Stayed,No,0,30,31-40,3581,3500-3999,,
CUST00078,1,Q4,1,Very Unsatisfied,Stayed,No,0,98,91-100,3246,3000-3499,,
CUST00079,1,Q2,2,Unsatisfied,Churned,Yes,1,44,41-50,2640,2500-2999,Competitor,Poor service
CUST00080,1,Q4,5,Very Satisfied,Stayed,No,0,2,1-10,6670,6500-6999,,
CUST00081,1,Q2,5,Very Satisfied,Churned,Yes,1,20,21-30,5306,5000-5499,Other,Poor service
CUST00082,1,Q1,3,Neutral,Stayed,No,0,19,11-20,4967,4500-4999,,
CUST00083,1,Q4,1,Very Unsatisfied,Churned,Yes,1,92,91-100,5901,5500-5999,Other,No longer needed
CUST00084,1,Q1,5,Very Satisfied,Stayed,No,0,13,11-20,5897,5500-5999,,
CUST00085,1,Q3,2,Unsatisfied,Stayed,No,0,35,31-40,6628,6500-6999,,
CUST00086,1,Q1,3,Neutral,Stayed,No,0,21,21-30,6261,6000-6499,,
CUST00087,1,Q1,2,Unsatisfied,Stayed,No,0,71,71-80,5923,5500-5999,,
CUST00088,1,Q4,3,Neutral,Stayed,No,0,35,31-40,6027,6000-6499,,
CUST00089,1,Q3,3,Neutral,Stayed,No,0,34,31-40,4487,4000-4499,,
CUST00090,1,Q2,3,Neutral,Churned,Yes,1,54,51-60,2117,2000-2499,Competitor,Moving
CUST00091,1,Q4,2,Unsatisfied,Stayed,No,0,100,91-100,5740,5500-5999,,
CUST00092,1,Q1,4,Satisfied,Stayed,No,0,45,41-50,3786,3500-3999,,
CUST00093,1,Q2,4,Satisfied,Stayed,No,0,100,91-100,3027,3000-3499,,
CUST00094,1,Q1,2,Unsatisfied,Churned,Yes,1,79,71-80,4389,4000-4499,Attitude,Moving
CUST00095,1,Q2,2,Unsatisfied,Stayed,No,0,88,81-90,6998,6500-6999,,
CUST00096,1,Q3,3,Neutral,Stayed,No,0,29,21-30,3061,3000-3499,,
CUST00097,1,Q1,5,Very Satisfied,Stayed,No,0,55,51-60,2269,2000-2499,,
CUST00098,1,Q3,1,Very Unsatisfied,Stayed,No,0,12,11-20,6538,6500-6999,,
CUST00099,1,Q3,5,Very Satisfied,Stayed,No,0,64,61-70,4067,4000-4499,,
CUST00100,1,Q1,2,Unsatisfied,Stayed,No,0,12,11-20,4735,4500-4999,,
CUST00101,1,Q1,2,Unsatisfied,Stayed,No,0,16,11-20,2808,2500-2999,,
CUST00102,1,Q4,5,Very Satisfied,Stayed,No,0,23,21-30,6008,6000-6499,,
CUST00103,1,Q4,2,Unsatisfied,Stayed,No,0,4,1-10,6366,6000-6499,,
CUST00104,1,Q1,5,Very Satisfied,Stayed,No,0,98,91-100,4100,4000-4499,,
CUST00105,1,Q4,4,Satisfied,Stayed,No,0,61,61-70,4601,4500-4999,,
CUST00106,1,Q3,2,Unsatisfied,Stayed,No,0,35,31-40,3267,3000-3499,,
CUST00107,1,Q4,1,Very Unsatisfied,Stayed,No,0,10,11-20,2009,2000-2499,,
CUST00108,1,Q4,3,Neutral,Churned,Yes,1,75,71-80,4860,4500-4999,Attitude,No longer needed
CUST00109,1,Q4,5,Very Satisfied,Churned,Yes,1,86,81-90,2084,2000-2499,Dissatisfaction,Moving
CUST00110,1,Q4,1,Very Unsatisfied,Stayed,No,0,54,51-60,5288,5000-5499,,
CUST00111,1,Q4,5,Very Satisfied,Churned,Yes,1,5,1-10,2662,2500-2999,Dissatisfaction,Too expensive
CUST00112,1,Q4,1,Very Unsatisfied,Stayed,No,0,39,31-40,6326,6000-6499,,
CUST00113,1,Q2,1,Very Unsatisfied,Stayed,No,0,59,51-60,5715,5500-5999,,
CUST00114,1,Q3,2,Unsatisfied,Stayed,No,0,20,21-30,3531,3500-3999,,
CUST00115,1,Q2,2,Unsatisfied,Stayed,No,0,67,61-70,3889,3500-3999,,
CUST00116,1,Q1,4,Satisfied,Stayed,No,0,9,1-10,4477,4000-4499,,
CUST00117,1,Q2,4,Satisfied,Stayed,No,0,95,91-100,6829,6500-6999,,
CUST00118,1,Q2,4,Satisfied,Stayed,No,0,31,31-40,6094,6000-6499,,
CUST00119,1,Q1,2,Unsatisfied,Churned,Yes,1,0,1-10,3038,3000-3499,Attitude,Found better deal
CUST00120,1,Q3,5,Very Satisfied,Stayed,No,0,40,41-50,4916,4500-4999,,
CUST00121,1,Q2,1,Very Unsatisfied,Stayed,No,0,5,1-10,3164,3000-3499,,
CUST00122,1,Q2,1,Very Unsatisfied,Stayed,No,0,18,11-20,4015,4000-4499,,
CUST00123,1,Q4,4,Satisfied,Churned,Yes,1,9,1-10,4598,4500-4999,Other,Found better deal
CUST00124,1,Q1,4,Satisfied,Stayed,No,0,75,71-80,5593,5500-5999,,
CUST00125,1,Q3,4,Satisfied,Stayed,No,0,78,71-80,5348,5000-5499,,
CUST00126,1,Q3,3,Neutral,Stayed,No,0,96,91-100,2447,2000-2499,,
CUST00127,1,Q4,3,Neutral,Stayed,No,0,93,91-100,6008,6000-6499,,
CUST00128,1,Q2,1,Very Unsatisfied,Churned,Yes,1,3,1-10,2565,2500-2999,Dissatisfaction,Found better deal
CUST00129,1,Q1,4,Satisfied,Stayed,No,0,28,21-30,3636,3500-3999,,
CUST00130,1,Q3,1,Very Unsatisfied,Stayed,No,0,84,81-90,4799,4500-4999,,
CUST00131,1,Q4,5,Very Satisfied,Stayed,No,0,53,51-60,4668,4500-4999,,
CUST00132,1,Q1,5,Very Satisfied,Stayed,No,0,26,21-30,4400,4000-4499,,
CUST00133,1,Q4,1,Very Unsatisfied,Stayed,No,0,13,11-20,4778,4500-4999,,
CUST00134,1,Q2,5,Very Satisfied,Churned,Yes,1,44,41-50,2078,2000-2499,Other,No longer needed
CUST00135,1,Q3,4,Satisfied,Stayed,No,0,57,51-60,5029,5000-5499,,
CUST00136,1,Q3,2,Unsatisfied,Stayed,No,0,50,51-60,6080,6000-6499,,
CUST00137,1,Q4,4,Satisfied,Stayed,No,0,39,31-40,4004,4000-4499,,
CUST00138,1,Q3,3,Neutral,Churned,Yes,1,41,41-50,2035,2000-2499,Dissatisfaction,Poor service
CUST00139,1,Q1,3,Neutral,Churned,Yes,1,38,31-40,5776,5500-5999,Competitor,Too expensive
CUST00140,1,Q2,5,Very Satisfied,Stayed,No,0,46,41-50,6274,6000-6499,,
CUST00141,1,Q1,5,Very Satisfied,Stayed,No,0,72,71-80,5483,5000-5499,,
CUST00142,1,Q3,3,Neutral,Stayed,No,0,73,71-80,2303,2000-2499,,
CUST00143,1,Q1,2,Unsatisfied,Stayed,No,0,83,81-90,6735,6500-6999,,
CUST00144,1,Q1,5,Very Satisfied,Stayed,No,0,91,91-100,3718,3500-3999,,
CUST00145,1,Q3,2,Unsatisfied,Stayed,No,0,13,11-20,6851,6500-6999,,
CUST00146,1,Q1,1,Very Unsatisfied,Churned,Yes,1,55,51-60,3449,3000-3499,Competitor,Too expensive
CUST00147,1,Q2,5,Very Satisfied,Stayed,No,0,68,61-70,2687,2500-2999,,
CUST00148,1,Q4,3,Neutral,Stayed,No,0,5,1-10,2404,2000-2499,,
CUST00149,1,Q3,3,Neutral,Stayed,No,0,25,21-30,5677,5500-5999,,
CUST00150,1,Q4,4,Satisfied,Stayed,No,0,8,1-10,2793,2500-2999,,
CUST00151,1,Q2,4,Satisfied,Stayed,No,0,45,41-50,2164,2000-2499,,
CUST00152,1,Q1,5,Very Satisfied,Stayed,No,0,53,51-60,6655,6500-6999,,
CUST00153,1,Q2,1,Very Unsatisfied,Stayed,No,0,83,81-90,2033,2000-2499,,
CUST00154,1,Q4,1,Very Unsatisfied,Stayed,No,0,4,1-10,5087,5000-5499,,
CUST00155,1,Q4,5,Very Satisfied,Stayed,No,0,77,71-80,3134,3000-3499,,
CUST00156,1,Q4,5,Very Satisfied,Stayed,No,0,40,41-50,5037,5000-5499,,
CUST00157,1,Q3,4,Satisfied,Stayed,No,0,55,51-60,2299,2000-2499,,
CUST00158,1,Q3,3,Neutral,Stayed,No,0,72,71-80,2405,2000-2499,,
CUST00159,1,Q4,5,Very Satisfied,Stayed,No,0,98,91-100,5300,5000-5499,,
CUST00160,1,Q1,4,Satisfied,Stayed,No,0,31,31-40,3942,3500-3999,,
CUST00161,1,Q3,3,Neutral,Stayed,No,0,41,41-50,3834,3500-3999,,
CUST00162,1,Q3,2,Unsatisfied,Stayed,No,0,25,21-30,6217,6000-6499,,
CUST00163,1,Q2,4,Satisfied,Churned,Yes,1,29,21-30,6895,6500-6999,Price,No longer needed
CUST00164,1,Q2,4,Satisfied,Churned,Yes,1,49,41-50,4364,4000-4499,Other,Too expensive
CUST00165,1,Q2,3,Neutral,Stayed,No,0,59,51-60,4752,4500-4999,,
CUST00166,1,Q4,1,Very Unsatisfied,Stayed,No,0,88,81-90,4427,4000-4499,,
CUST00167,1,Q4,3,Neutral,Stayed,No,0,11,11-20,3484,3000-3499,,
CUST00168,1,Q4,4,Satisfied,Churned,Yes,1,29,21-30,2823,2500-2999,Competitor,Too expensive
CUST00169,1,Q4,3,Neutral,Churned,Yes,1,40,41-50,5771,5500-5999,Competitor,Too expensive
CUST00170,1,Q1,2,Unsatisfied,Stayed,No,0,3,1-10,5334,5000-5499,,
CUST00171,1,Q4,1,Very Unsatisfied,Stayed,No,0,38,31-40,6199,6000-6499,,
CUST00172,1,Q2,4,Satisfied,Stayed,No,0,81,81-90,2813,2500-2999,,
CUST00173,1,Q1,2,Unsatisfied,Stayed,No,0,31,31-40,2973,2500-2999,,
CUST00174,1,Q2,5,Very Satisfied,Stayed,No,0,13,11-20,6140,6000-6499,,
CUST00175,1,Q1,4,Satisfied,Stayed,No,0,55,51-60,5474,5000-5499,,
CUST00176,1,Q3,4,Satisfied,Stayed,No,0,56,51-60,4313,4000-4499,,
CUST00177,1,Q1,1,Very Unsatisfied,Stayed,No,0,91,91-100,6744,6500-6999,,
CUST00178,1,Q2,1,Very Unsatisfied,Stayed,No,0,84,81-90,3631,3500-3999,,
CUST00179,1,Q4,3,Neutral,Churned,Yes,1,48,41-50,5731,5500-5999,Dissatisfaction,Too expensive
CUST00180,1,Q2,4,Satisfied,Stayed,No,0,81,81-90,4162,4000-4499,,
CUST00181,1,Q3,3,Neutral,Stayed,No,0,54,51-60,3272,3000-3499,,
CUST00182,1,Q4,1,Very Unsatisfied,Churned,Yes,1,4,1-10,4823,4500-4999,Attitude,Poor service
CUST00183,1,Q3,1,Very Unsatisfied,Stayed,No,0,64,61-70,3180,3000-3499,,
CUST00184,1,Q4,4,Satisfied,Stayed,No,0,46,41-50,4996,4500-4999,,
CUST00185,1,Q3,3,Neutral,Stayed,No,0,81,81-90,5763,5500-5999,,
CUST00186,1,Q3,2,Unsatisfied,Stayed,No,0,56,51-60,5115,5000-5499,,
CUST00187,1,Q1,1,Very Unsatisfied,Stayed,No,0,56,51-60,4618,4500-4999,,
CUST00188,1,Q3,4,Satisfied,Stayed,No,0,61,61-70,5941,5500-5999,,
CUST00189,1,Q1,1,Very Unsatisfied,Stayed,No,0,52,51-60,6478,6000-6499,,
CUST00190,1,Q1,4,Satisfied,Stayed,No,0,86,81-90,3009,3000-3499,,
CUST00191,1,Q1,3,Neutral,Stayed,No,0,25,21-30,5006,5000-5499,,
CUST00192,1,Q4,2,Unsatisfied,Stayed,No,0,87,81-90,3817,3500-3999,,
CUST00193,1,Q4,2,Unsatisfied,Stayed,No,0,43,41-50,2452,2000-2499,,
CUST00194,1,Q3,2,Unsatisfied,Stayed,No,0,67,61-70,5947,5500-5999,,
CUST00195,1,Q3,1,Very Unsatisfied,Stayed,No,0,72,71-80,5026,5000-5499,,
CUST00196,1,Q3,2,Unsatisfied,Stayed,No,0,65,61-70,6856,6500-6999,,
CUST00197,1,Q1,1,Very Unsatisfied,Stayed,No,0,47,41-50,4944,4500-4999,,
CUST00198,1,Q1,5,Very Satisfied,Stayed,No,0,73,71-80,5448,5000-5499,,
CUST00199,1,Q4,3,Neutral,Stayed,No,0,59,51-60,4611,4500-4999,,
CUST00200,1,Q3,5,Very Satisfied,Stayed,No,0,7,1-10,2443,2000-2499,,
CUST00201,1,Q1,4,Satisfied,Stayed,No,0,52,51-60,5452,5000-5499,,
CUST00202,1,Q4,3,Neutral,Stayed,No,0,11,11-20,3941,3500-3999,,
CUST00203,1,Q1,5,Very Satisfied,Stayed,No,0,76,71-80,3509,3500-3999,,
CUST00204,1,Q2,1,Very Unsatisfied,Churned,Yes,1,16,11-20,3633,3500-3999,Competitor,No longer needed
CUST00205,1,Q3,2,Unsatisfied,Stayed,No,0,11,11-20,5372,5000-5499,,
CUST00206,1,Q1,3,Neutral,Stayed,No,0,45,41-50,2995,2500-2999,,
CUST00207,1,Q2,3,Neutral,Stayed,No,0,71,71-80,2676,2500-2999,,
CUST00208,1,Q1,4,Satisfied,Stayed,No,0,27,21-30,3407,3000-3499,,
CUST00209,1,Q4,5,Very Satisfied,Stayed,No,0,78,71-80,6980,6500-6999,,
CUST00210,1,Q4,3,Neutral,Stayed,No,0,69,61-70,3508,3500-3999,,
CUST00211,1,Q4,4,Satisfied,Churned,Yes,1,34,31-40,2529,2500-2999,Price,Moving
CUST00212,1,Q2,1,Very Unsatisfied,Churned,Yes,1,4,1-10,2528,2500-2999,Other,Found better deal
CUST00213,1,Q1,4,Satisfied,Stayed,No,0,57,51-60,6358,6000-6499,,
CUST00214,1,Q3,1,Very Unsatisfied,Stayed,No,0,32,31-40,5542,5500-5999,,
CUST00215,1,Q1,2,Unsatisfied,Stayed,No,0,90,91-100,3626,3500-3999,,
CUST00216,1,Q3,2,Unsatisfied,Stayed,No,0,73,71-80,2197,2000-2499,,
CUST00217,1,Q2,4,Satisfied,Stayed,No,0,82,81-90,4516,4500-4999,,
CUST00218,1,Q3,4,Satisfied,Stayed,No,0,38,31-40,4808,4500-4999,,
CUST00219,1,Q4,3,Neutral,Stayed,No,0,0,1-10,6381,6000-6499,,
CUST00220,1,Q4,1,Very Unsatisfied,Churned,Yes,1,2,1-10,4035,4000-4499,Competitor,Poor service
CUST00221,1,Q3,4,Satisfied,Churned,Yes,1,46,41-50,5760,5500-5999,Other,No longer needed
CUST00222,1,Q2,3,Neutral,Stayed,No,0,82,81-90,5102,5000-5499,,
CUST00223,1,Q3,5,Very Satisfied,Stayed,No,0,53,51-60,3596,3500-3999,,
CUST00224,1,Q1,5,Very Satisfied,Stayed,No,0,27,21-30,4402,4000-4499,,
CUST00225,1,Q3,1,Very Unsatisfied,Stayed,No,0,80,81-90,5534,5500-5999,,
CUST00226,1,Q1,5,Very Satisfied,Stayed,No,0,24,21-30,4051,4000-4499,,
CUST00227,1,Q1,3,Neutral,Stayed,No,0,95,91-100,6377,6000-6499,,
CUST00228,1,Q2,4,Satisfied,Stayed,No,0,95,91-100,4289,4000-4499,,
CUST00229,1,Q1,3,Neutral,Stayed,No,0,12,11-20,6509,6500-6999,,
CUST00230,1,Q1,2,Unsatisfied,Stayed,No,0,34,31-40,4560,4500-4999,,
CUST00231,1,Q3,3,Neutral,Stayed,No,0,1,1-10,6551,6500-6999,,
CUST00232,1,Q2,1,Very Unsatisfied,Churned,Yes,1,47,41-50,4496,4000-4499,Attitude,No longer needed
CUST00233,1,Q3,1,Very Unsatisfied,Churned,Yes,1,23,21-30,3980,3500-3999,Price,Found better deal
CUST00234,1,Q3,2,Unsatisfied,Stayed,No,0,22,21-30,2380,2000-2499,,
CUST00235,1,Q3,4,Satisfied,Stayed,No,0,86,81-90,2731,2500-2999,,
CUST00236,1,Q1,1,Very Unsatisfied,Churned,Yes,1,36,31-40,2174,2000-2499,Competitor,No longer needed
CUST00237,1,Q3,2,Unsatisfied,Churned,Yes,1,59,51-60,4329,4000-4499,Competitor,Poor service
CUST00238,1,Q4,4,Satisfied,Stayed,No,0,61,61-70,4228,4000-4499,,
CUST00239,1,Q1,2,Unsatisfied,Stayed,No,0,25,21-30,4304,4000-4499,,
CUST00240,1,Q2,5,Very Satisfied,Stayed,No,0,44,41-50,6087,6000-6499,,
CUST00241,1,Q2,4,Satisfied,Stayed,No,0,5,1-10,3270,3000-3499,,
CUST00242,1,Q2,1,Very Unsatisfied,Stayed,No,0,50,51-60,5310,5000-5499,,
CUST00243,1,Q4,1,Very Unsatisfied,Stayed,No,0,89,81-90,2424,2000-2499,,
CUST00244,1,Q2,4,Satisfied,Stayed,No,0,24,21-30,2962,2500-2999,,
CUST00245,1,Q3,4,Satisfied,Stayed,No,0,9,1-10,6680,6500-6999,,
CUST00246,1,Q1,2,Unsatisfied,Churned,Yes,1,45,41-50,6133,6000-6499,Price,Moving
CUST00247,1,Q1,1,Very Unsatisfied,Stayed,No,0,66,61-70,4418,4000-4499,,
CUST00248,1,Q4,2,Unsatisfied,Churned,Yes,1,21,21-30,6949,6500-6999,Price,Poor service
CUST00249,1,Q2,1,Very Unsatisfied,Stayed,No,0,85,81-90,2112,2000-2499,,
CUST00250,1,Q4,4,Satisfied,Stayed,No,0,5,1-10,5687,5500-5999,,
CUST00251,1,Q4,3,Neutral,Stayed,No,0,33,31-40,3011,3000-3499,,
CUST00252,1,Q2,3,Neutral,Stayed,No,0,48,41-50,4879,4500-4999,,
CUST00253,1,Q3,4,Satisfied,Stayed,No,0,22,21-30,2437,2000-2499,,
CUST00254,1,Q3,3,Neutral,Churned,Yes,1,82,81-90,6555,6500-6999,Dissatisfaction,No longer needed
CUST00255,1,Q4,3,Neutral,Stayed,No,0,87,81-90,4744,4500-4999,,
CUST00256,1,Q1,3,Neutral,Stayed,No,0,92,91-100,3856,3500-3999,,
CUST00257,1,Q4,1,Very Unsatisfied,Stayed,No,0,20,21-30,2338,2000-2499,,
CUST00258,1,Q4,3,Neutral,Stayed,No,0,24,21-30,3210,3000-3499,,
CUST00259,1,Q2,2,Unsatisfied,Stayed,No,0,69,61-70,6789,6500-6999,,
CUST00260,1,Q2,1,Very Unsatisfied,Stayed,No,0,84,81-90,5702,5500-5999,,
CUST00261,1,Q1,4,Satisfied,Stayed,No,0,65,61-70,2048,2000-2499,,
CUST00262,1,Q3,5,Very Satisfied,Stayed,No,0,80,81-90,4384,4000-4499,,
CUST00263,1,Q4,2,Unsatisfied,Stayed,No,0,41,41-50,3381,3000-3499,,
CUST00264,1,Q4,4,Satisfied,Stayed,No,0,26,21-30,6587,6500-6999,,
CUST00265,1,Q2,5,Very Satisfied,Stayed,No,0,5,1-10,4256,4000-4499,,
CUST00266,1,Q4,1,Very Unsatisfied,Stayed,No,0,99,91-100,2243,2000-2499,,
CUST00267,1,Q2,5,Very Satisfied,Churned,Yes,1,40,41-50,2940,2500-2999,Dissatisfaction,No longer needed
CUST00268,1,Q2,5,Very Satisfied,Stayed,No,0,30,31-40,3125,3000-3499,,
CUST00269,1,Q2,3,Neutral,Churned,Yes,1,31,31-40,2294,2000-2499,Price,Poor service
CUST00270,1,Q1,1,Very Unsatisfied,Churned,Yes,1,100,91-100,5014,5000-5499,Price,No longer needed
CUST00271,1,Q3,5,Very Satisfied,Stayed,No,0,49,41-50,4703,4500-4999,,
CUST00272,1,Q2,2,Unsatisfied,Churned,Yes,1,15,11-20,3214,3000-3499,Attitude,Too expensive
CUST00273,1,Q4,1,Very Unsatisfied,Stayed,No,0,62,61-70,2818,2500-2999,,
CUST00274,1,Q1,2,Unsatisfied,Stayed,No,0,57,51-60,4916,4500-4999,,
CUST00275,1,Q3,5,Very Satisfied,Stayed,No,0,9,1-10,4229,4000-4499,,
CUST00276,1,Q1,4,Satisfied,Stayed,No,0,56,51-60,5379,5000-5499,,
CUST00277,1,Q4,1,Very Unsatisfied,Stayed,No,0,53,51-60,3910,3500-3999,,
CUST00278,1,Q2,4,Satisfied,Stayed,No,0,14,11-20,2427,2000-2499,,
CUST00279,1,Q2,4,Satisfied,Stayed,No,0,15,11-20,2265,2000-2499,,
CUST00280,1,Q1,1,Very Unsatisfied,Stayed,No,0,15,11-20,3791,3500-3999,,
