CustomerID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,JoinDate,LastPaymentDate,CancellationDate
CUST00021,1,Q4,Yes,1,59,Offer D,No,16.79,Yes,No,36.5,No,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,72.39,4302.58,11.91,7.27,66.74,2020-01-31,2024-12-05,
CUST00022,1,Q3,No,2,21,Offer E,Yes,29.03,No,Fiber Optic,242.8,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,117.35,2499.78,1.2,0.63,51.79,2023-03-31,2024-12-23,
CUST00023,1,Q4,Yes,3,56,None,No,7.84,No,Cable,101.2,Yes,No,Yes,Yes,Yes,No,Yes,No,One Year,No,Credit Card,118.09,6641.22,18.27,5.83,55.55,2020-04-30,2024-12-20,2022-04-08
CUST00024,1,Q4,No,2,26,Offer C,Yes,10.34,No,No,109.6,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,No,Credit Card,70.46,1834.6,15.45,2.84,3.29,2022-10-31,2024-12-14,
CUST00025,1,Q2,Yes,2,23,Offer E,No,9.79,No,No,275.3,No,Yes,No,Yes,Yes,No,Yes,Yes,One Year,No,Credit Card,37.9,876.8,19.94,7.68,60.35,2023-01-31,2024-12-05,2023-07-05
CUST00026,1,Q1,Yes,0,19,None,Yes,14.7,Yes,Cable,207.0,Yes,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,50.35,994.29,8.26,12.54,49.43,2023-05-31,2024-12-18,
CUST00027,1,Q3,Yes,2,24,Offer E,Yes,34.87,No,DSL,69.4,No,No,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,55.57,1349.05,19.65,11.91,13.88,2022-12-31,2024-12-22,
CUST00028,1,Q2,No,0,17,Offer C,Yes,8.53,No,Cable,64.4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,42.52,726.35,9.78,14.26,48.06,2023-07-31,2024-12-25,
CUST00029,1,Q3,No,0,69,Offer C,Yes,34.57,Yes,No,55.6,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.64,6560.32,17.98,12.31,39.47,2019-03-31,2024-12-17,
CUST00030,1,Q2,No,1,56,None,Yes,21.23,No,DSL,187.1,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,25.53,1463.37,5.61,3.46,26.31,2020-04-30,2024-12-23,2022-06-23
CUST00031,1,Q3,Yes,2,43,Offer E,No,7.29,Yes,Cable,238.8,Yes,No,Yes,No,No,Yes,No,Yes,Two Year,No,Mailed Check,65.23,2846.72,0.69,3.0,58.23,2021-05-31,2024-12-03,
CUST00032,1,Q1,Yes,1,39,Offer A,Yes,27.39,No,No,242.8,Yes,No,Yes,Yes,No,Yes,No,No,One Year,Yes,Bank Withdrawal,113.33,4442.28,4.12,8.16,16.73,2021-09-30,2024-12-06,
CUST00033,1,Q1,Yes,1,29,Offer A,Yes,20.88,No,Fiber Optic,173.1,No,Yes,Yes,No,No,Yes,No,Yes,Two Year,Yes,Credit Card,97.21,2862.42,21.31,1.26,44.5,2022-07-31,2024-12-10,
CUST00034,1,Q3,Yes,0,58,Offer D,Yes,31.04,Yes,No,277.7,No,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,43.25,2530.0,17.34,7.0,31.65,2020-02-29,2024-12-12,2024-11-04
CUST00035,1,Q4,Yes,2,21,Offer C,Yes,9.72,Yes,No,82.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.91,568.84,7.06,6.38,46.76,2023-03-31,2024-12-03,
CUST00036,1,Q2,Yes,2,45,Offer E,No,10.34,Yes,No,218.2,No,No,No,Yes,No,No,Yes,No,One Year,Yes,Bank Withdrawal,97.46,4428.87,0.81,9.34,7.03,2021-03-31,2024-12-07,
CUST00037,1,Q2,Yes,1,71,Offer C,No,19.8,No,Fiber Optic,241.2,No,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Mailed Check,32.26,2318.54,10.39,7.99,5.27,2019-01-31,2024-12-05,
CUST00038,1,Q2,No,1,70,Offer D,No,11.61,Yes,Fiber Optic,251.1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One Year,No,Bank Withdrawal,20.35,1439.56,7.97,13.18,17.55,2019-02-28,2024-12-23,
CUST00039,1,Q1,Yes,1,45,None,No,18.49,Yes,No,121.0,Yes,Yes,No,No,No,Yes,No,Yes,Two Year,Yes,Mailed Check,24.15,1098.55,16.14,5.47,22.74,2021-03-31,2024-12-16,
CUST00040,1,Q3,Yes,0,57,Offer E,Yes,8.11,Yes,Cable,205.8,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,81.81,4704.75,1.98,10.76,49.18,2020-03-31,2024-12-03,
CUST00041,1,Q3,Yes,0,54,Offer A,No,22.19,No,DSL,296.6,No,Yes,No,No,No,No,Yes,No,Two Year,No,Credit Card,32.89,1813.18,13.05,7.14,34.86,2020-06-30,2024-12-17,
CUST00042,1,Q4,No,1,50,Offer E,Yes,12.66,No,DSL,120.6,Yes,No,No,No,No,Yes,Yes,Yes,One Year,Yes,Mailed Check,40.51,2067.22,5.05,4.67,29.67,2020-10-31,2024-12-26,
CUST00043,1,Q2,No,1,25,None,No,38.31,No,Cable,275.5,Yes,No,No,Yes,Yes,Yes,No,Yes,One Year,No,Mailed Check,24.05,649.07,0.14,10.84,76.13,2022-11-30,2024-12-17,2023-04-11
CUST00044,1,Q3,Yes,0,36,Offer A,Yes,31.17,Yes,DSL,135.4,Yes,No,Yes,No,No,No,Yes,No,One Year,Yes,Credit Card,74.15,2694.32,21.58,7.89,65.37,2021-12-31,2024-12-13,2024-09-28
CUST00045,1,Q4,Yes,0,44,Offer B,Yes,22.41,No,Fiber Optic,163.6,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,28.51,1300.31,11.87,0.13,61.84,2021-04-30,2024-12-21,
CUST00046,1,Q1,No,1,14,Offer D,No,36.35,No,No,187.3,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,43.3,615.58,5.9,11.7,68.95,2023-10-31,2024-12-04,
CUST00047,1,Q2,Yes,0,18,None,No,11.85,Yes,Fiber Optic,223.4,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,No,Mailed Check,67.94,1237.32,5.66,5.85,13.8,2023-06-30,2024-12-06,
CUST00048,1,Q2,Yes,2,24,Offer E,No,33.98,No,Fiber Optic,201.1,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Mailed Check,21.92,538.36,2.11,3.1,37.51,2022-12-31,2024-12-20,
CUST00049,1,Q3,Yes,1,47,None,No,15.18,Yes,Fiber Optic,150.4,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,71.44,3370.87,8.67,2.88,27.47,2021-01-31,2024-12-07,
CUST00050,1,Q4,No,1,20,Offer C,No,26.27,No,DSL,178.2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,36.43,752.59,3.8,8.52,22.26,2023-04-30,2024-12-12,
CUST00051,1,Q3,Yes,1,57,None,No,12.48,Yes,DSL,155.3,No,No,Yes,Yes,No,No,No,No,One Year,Yes,Bank Withdrawal,80.54,4595.69,13.55,6.96,68.83,2020-03-31,2024-12-15,
CUST00052,1,Q3,No,0,33,None,Yes,13.35,No,No,264.1,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,45.77,1548.85,18.51,3.15,19.28,2022-03-31,2024-12-06,
CUST00053,1,Q3,No,1,55,Offer B,No,8.09,No,No,100.8,Yes,No,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,101.6,5598.24,16.37,10.58,14.65,2020-05-31,2024-12-16,2020-12-08
CUST00054,1,Q4,Yes,1,20,Offer D,No,29.24,Yes,Cable,40.0,Yes,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,88.36,1813.77,2.96,9.05,6.16,2023-04-30,2024-12-09,2023-08-22
CUST00055,1,Q2,Yes,1,24,Offer B,Yes,18.27,Yes,DSL,217.6,Yes,Yes,No,No,No,No,Yes,No,Two Year,No,Credit Card,76.12,1827.23,2.16,9.95,54.71,2022-12-31,2024-12-05,
CUST00056,1,Q4,Yes,1,40,Offer C,Yes,10.57,No,Fiber Optic,122.2,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,83.77,3382.15,24.14,1.83,2.42,2021-08-31,2024-12-15,
CUST00057,1,Q3,No,5,41,Offer D,No,9.32,No,Fiber Optic,206.1,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Mailed Check,119.9,4926.58,10.57,14.56,15.25,2021-07-31,2024-12-21,
CUST00058,1,Q4,No,1,38,Offer E,Yes,17.69,No,No,256.1,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,60.09,2327.49,9.7,7.79,50.82,2021-10-31,2024-12-05,2022-06-03
CUST00059,1,Q3,No,2,44,Offer A,Yes,28.32,No,No,111.7,Yes,No,Yes,No,Yes,No,Yes,No,One Year,No,Credit Card,54.63,2415.22,13.14,7.63,40.55,2021-04-30,2024-12-25,
CUST00060,1,Q3,No,1,42,None,No,38.33,Yes,No,56.6,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Mailed Check,76.09,3242.18,13.92,6.59,5.52,2021-06-30,2024-12-17,
CUST00061,1,Q2,No,0,54,Offer E,Yes,14.9,Yes,Fiber Optic,111.8,Yes,Yes,Yes,No,No,Yes,No,Yes,Two Year,No,Credit Card,27.36,1510.88,4.21,10.06,41.66,2020-06-30,2024-12-12,
CUST00062,1,Q3,Yes,0,58,None,No,16.66,No,DSL,190.1,No,Yes,Yes,No,Yes,No,Yes,No,Two Year,No,Mailed Check,27.15,1591.73,14.83,13.68,76.36,2020-02-29,2024-12-20,
CUST00063,1,Q4,No,0,29,Offer E,No,37.34,Yes,Fiber Optic,265.1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Mailed Check,81.03,2352.71,21.32,7.98,79.0,2022-07-31,2024-12-12,
CUST00064,1,Q4,Yes,0,44,Offer B,No,8.31,Yes,DSL,244.5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,92.79,4100.75,11.62,7.74,30.27,2021-04-30,2024-12-09,2021-05-30
CUST00065,1,Q3,No,0,30,Offer B,No,36.97,No,No,292.5,No,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Mailed Check,94.75,2885.84,2.18,9.11,1.1,2022-06-30,2024-12-26,
CUST00066,1,Q3,Yes,0,39,Offer C,No,37.89,Yes,No,178.3,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,87.43,3412.08,8.36,1.37,60.91,2021-09-30,2024-12-10,2022-09-13
CUST00067,1,Q2,Yes,0,15,Offer D,Yes,30.25,No,No,201.4,No,No,Yes,Yes,No,No,Yes,Yes,Two Year,No,Mailed Check,94.89,1463.25,23.81,1.44,10.59,2023-09-30,2024-12-17,
CUST00068,1,Q3,Yes,3,65,Offer C,Yes,23.58,Yes,No,231.3,No,Yes,No,Yes,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,56.0,3667.29,16.36,5.2,78.42,2019-07-31,2024-12-17,2023-03-30
CUST00069,1,Q4,Yes,2,69,Offer C,Yes,37.66,No,Fiber Optic,219.9,Yes,Yes,No,No,No,No,Yes,No,One Year,No,Bank Withdrawal,97.14,6712.66,8.74,13.15,40.83,2019-03-31,2024-12-19,
CUST00070,1,Q1,Yes,1,61,Offer D,No,36.48,Yes,No,204.4,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,42.19,2622.33,24.37,7.93,76.12,2019-11-30,2024-12-24,
CUST00071,1,Q1,Yes,0,22,Offer C,No,7.03,No,No,293.1,Yes,No,No,Yes,No,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,51.69,1139.45,13.83,5.65,11.61,2023-02-28,2024-12-02,
CUST00072,1,Q4,Yes,1,47,Offer C,No,15.21,No,DSL,233.5,Yes,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,23.59,1113.16,19.62,11.76,8.61,2021-01-31,2024-12-15,
CUST00073,1,Q1,Yes,1,47,Offer A,No,16.42,Yes,No,180.7,Yes,Yes,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,108.56,5116.51,22.86,3.09,64.28,2021-01-31,2024-12-06,
CUST00074,1,Q3,Yes,3,52,Offer B,Yes,7.22,Yes,DSL,252.7,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.95,4666.68,2.47,6.71,29.64,2020-08-31,2024-12-24,
CUST00075,1,Q3,No,0,46,Offer D,No,29.47,No,No,236.0,No,No,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,112.47,5214.14,8.13,11.92,36.74,2021-02-28,2024-12-23,
CUST00076,1,Q2,Yes,2,36,Offer E,No,12.38,No,DSL,268.0,Yes,No,No,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,52.37,1918.79,7.26,6.63,53.87,2021-12-31,2024-12-15,
CUST00077,1,Q2,No,3,70,None,No,15.21,Yes,No,148.8,Yes,Yes,No,Yes,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,107.81,7583.66,23.7,4.29,4.97,2019-02-28,2024-12-09,
CUST00078,1,Q4,No,0,36,Offer E,No,30.01,Yes,Fiber Optic,63.4,Yes,Yes,Yes,No,Yes,No,No,No,One Year,No,Credit Card,75.84,2746.85,22.2,5.8,18.82,2021-12-31,2024-12-03,
CUST00079,1,Q2,No,2,32,None,Yes,16.11,Yes,Fiber Optic,266.4,Yes,Yes,No,No,No,No,No,No,One Year,No,Credit Card,100.0,3244.26,5.34,10.87,49.09,2022-04-30,2024-12-23,2024-12-09
CUST00080,1,Q3,No,4,9,Offer E,No,29.44,No,No,38.9,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One Year,No,Mailed Check,72.09,664.93,23.05,5.77,33.0,2024-03-31,2024-12-05,
CUST00081,1,Q4,Yes,2,30,None,Yes,28.82,Yes,Cable,218.6,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,22.05,671.2,21.39,4.87,55.95,2022-06-30,2024-12-15,2022-10-09
CUST00082,1,Q4,Yes,1,35,Offer D,No,28.63,Yes,DSL,99.9,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Mailed Check,69.56,2444.66,14.41,0.76,50.0,2022-01-31,2024-12-10,
CUST00083,1,Q1,Yes,1,71,Offer C,Yes,26.76,No,Cable,125.8,No,No,No,Yes,No,Yes,No,No,One Year,No,Credit Card,96.14,6830.12,22.29,2.74,73.86,2019-01-31,2024-12-09,2023-10-30
CUST00084,1,Q3,No,1,52,Offer A,No,35.25,Yes,Fiber Optic,88.7,Yes,Yes,Yes,No,Yes,Yes,No,No,One Year,No,Mailed Check,116.97,6131.99,7.36,7.85,27.57,2020-08-31,2024-12-09,
CUST00085,1,Q1,No,1,44,Offer B,No,15.77,No,No,178.9,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.43,3584.35,3.33,6.7,38.65,2021-04-30,2024-12-20,
CUST00086,1,Q1,No,2,61,Offer B,Yes,13.24,Yes,Cable,56.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,90.66,5554.93,12.85,11.49,3.02,2019-11-30,2024-12-11,
CUST00087,1,Q1,Yes,0,64,Offer B,No,38.86,Yes,No,38.6,Yes,No,No,Yes,Yes,Yes,No,No,Month-to-Month,No,Credit Card,110.7,7094.24,10.64,7.47,2.02,2019-08-31,2024-12-24,
CUST00088,1,Q4,Yes,0,46,Offer D,Yes,34.12,No,No,246.1,Yes,Yes,Yes,No,No,No,No,No,Two Year,No,Credit Card,97.11,4496.51,23.54,3.35,49.68,2021-02-28,2024-12-12,
CUST00089,1,Q3,Yes,0,36,Offer B,No,29.13,No,Cable,173.0,Yes,Yes,No,Yes,Yes,No,Yes,No,One Year,Yes,Credit Card,103.52,3745.5,1.86,3.28,18.46,2021-12-31,2024-12-02,
CUST00090,1,Q1,Yes,1,40,Offer B,No,5.22,Yes,DSL,183.5,No,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,92.16,3686.49,16.46,11.89,63.75,2021-08-31,2024-12-02,2024-09-13
CUST00091,1,Q1,Yes,1,56,Offer B,No,29.09,No,Cable,252.4,No,No,No,Yes,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,74.07,4170.64,3.96,5.36,72.22,2020-04-30,2024-12-23,
CUST00092,1,Q2,No,5,38,Offer C,Yes,14.9,Yes,No,262.5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Month-to-Month,No,Mailed Check,90.74,3488.95,13.72,11.25,64.27,2021-10-31,2024-12-26,
CUST00093,1,Q1,No,0,63,None,No,16.0,No,DSL,238.8,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Credit Card,33.85,2173.41,18.25,10.34,36.8,2019-09-30,2024-12-06,
CUST00094,1,Q2,Yes,3,26,Offer E,Yes,37.62,Yes,No,162.6,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Mailed Check,31.1,816.45,8.13,11.09,70.81,2022-10-31,2024-12-02,2024-02-02
CUST00095,1,Q4,Yes,2,13,Offer A,No,6.33,Yes,Fiber Optic,166.4,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Bank Withdrawal,59.03,770.31,1.78,3.89,6.92,2023-11-30,2024-12-16,
CUST00096,1,Q1,No,0,57,None,No,26.74,Yes,Cable,170.2,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,33.02,1905.91,15.22,9.29,32.02,2020-03-31,2024-12-12,
CUST00097,1,Q3,No,1,35,None,No,15.35,Yes,Cable,148.5,Yes,No,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,60.95,2165.5,15.86,3.67,16.75,2022-01-31,2024-12-14,
CUST00098,1,Q2,Yes,2,38,Offer A,Yes,15.68,No,Fiber Optic,241.1,Yes,No,No,No,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,110.49,4230.47,0.56,11.65,22.42,2021-10-31,2024-12-13,
CUST00099,1,Q3,Yes,0,50,Offer E,Yes,14.96,Yes,Fiber Optic,292.7,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,98.45,4935.81,3.57,10.78,49.53,2020-10-31,2024-12-23,
CUST00100,1,Q1,Yes,1,59,Offer D,Yes,18.48,Yes,Cable,184.3,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,47.68,2825.79,7.76,4.97,27.65,2020-01-31,2024-12-09,
CUST00101,1,Q1,No,2,37,Offer B,Yes,7.96,Yes,DSL,265.5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Credit Card,112.92,4227.45,6.84,7.35,53.85,2021-11-30,2024-12-17,
CUST00102,1,Q1,Yes,1,38,Offer E,No,9.07,Yes,DSL,188.7,No,Yes,Yes,No,Yes,No,No,No,Two Year,No,Mailed Check,26.98,1034.39,18.45,8.62,44.6,2021-10-31,2024-12-13,
CUST00103,1,Q3,No,0,42,Offer B,Yes,7.05,Yes,Fiber Optic,294.7,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.43,3022.07,9.23,3.95,1.91,2021-06-30,2024-12-07,
CUST00104,1,Q2,Yes,0,47,Offer A,No,33.05,Yes,Cable,172.2,No,Yes,Yes,No,No,Yes,No,Yes,One Year,No,Mailed Check,36.24,1734.35,0.67,14.64,67.19,2021-01-31,2024-12-26,
CUST00105,1,Q4,No,2,69,Offer C,Yes,35.23,Yes,Fiber Optic,25.3,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,53.44,3721.01,23.65,5.98,75.39,2019-03-31,2024-12-02,
CUST00106,1,Q1,No,0,42,Offer E,No,5.8,Yes,DSL,62.1,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,57.99,2482.0,6.2,12.45,1.13,2021-06-30,2024-12-11,
CUST00107,1,Q3,Yes,0,34,Offer B,Yes,19.15,Yes,No,139.8,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Mailed Check,62.68,2175.04,18.03,5.23,56.46,2022-02-28,2024-12-09,
CUST00108,1,Q3,Yes,1,8,None,Yes,12.22,Yes,Fiber Optic,94.4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,88.72,718.26,0.41,5.84,3.49,2024-04-30,2024-12-23,2024-12-21
CUST00109,1,Q3,Yes,0,57,Offer B,No,13.04,Yes,DSL,278.6,Yes,Yes,Yes,Yes,Yes,Yes,No,No,One Year,No,Credit Card,86.16,4916.17,19.42,11.96,15.2,2020-03-31,2024-12-04,2023-06-18
CUST00110,1,Q1,No,1,37,Offer A,Yes,16.87,Yes,No,56.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,73.36,2734.4,14.2,1.74,29.3,2021-11-30,2024-12-19,
CUST00111,1,Q3,No,2,51,Offer A,Yes,14.84,No,Fiber Optic,267.4,No,No,No,Yes,Yes,No,Yes,No,One Year,Yes,Bank Withdrawal,46.86,2428.66,6.75,2.92,31.66,2020-09-30,2024-12-20,2023-04-10
CUST00112,1,Q3,No,0,6,None,Yes,24.39,Yes,No,273.3,Yes,No,No,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,55.71,375.58,18.86,5.05,43.89,2024-06-30,2024-12-04,
