CustomerID,Count,Gender,Age,Senior Citizen,Married,Dependents,Number of Dependents
CUST00413,1,FEMALE,40,No,Yes,No,0
CUST00414,1,Female,79,Yes,Yes,Yes,0
CUST00415,1,FEMALE,54,No,Yes,Yes,1
CUST00416,1,MALE,29,No,No,Yes,0
CUST00417,1,Female,72,Yes,No,Yes,1
CUST00418,1,FEMALE,30,No,No,No,0
CUST00419,1,Male,40,No,Yes,No,0
CUST00420,1,female,47,No,Yes,No,0
CUST00421,1,FEMALE,34,No,No,No,0
CUST00422,1,Male,79,Yes,Yes,No,0
CUST00423,1,Female,30,No,No,Yes,3
CUST00424,1,female,76,Yes,No,No,0
CUST00425,1,FEMALE,36,No,Yes,No,0
CUST00426,1,Female,66,Yes,Yes,Yes,0
CUST00427,1,FEMALE,29,No,No,No,0
CUST00428,1,Female,78,Yes,Yes,Yes,1
CUST00429,1,FEMALE,36,No,Yes,No,0
CUST00430,1,Male,26,No,Yes,Yes,0
CUST00431,1,MALE,45,No,Yes,No,0
CUST00432,1,Male,69,Yes,Yes,No,0
CUST00433,1,female,33,No,Yes,No,0
CUST00434,1,FEMALE,29,No,No,Yes,0
CUST00435,1,MALE,42,No,Yes,Yes,0
CUST00436,1,MALE,69,Yes,No,No,0
CUST00437,1,female,70,Yes,No,No,0
CUST00438,1,female,40,No,No,Yes,2
CUST00439,1,MALE,33,No,Yes,Yes,1
CUST00440,1,female,74,Yes,No,No,0
CUST00441,1,female,56,No,Yes,Yes,1
CUST00442,1,FEMALE,70,Yes,No,Yes,3
CUST00443,1,Male,59,No,No,Yes,1
CUST00444,1,Female,75,Yes,No,Yes,3
CUST00445,1,MALE,56,No,Yes,Yes,2
CUST00446,1,Female,31,No,No,Yes,3
CUST00447,1,MALE,22,No,No,Yes,3
CUST00448,1,MALE,52,No,Yes,Yes,2
CUST00449,1,Male,35,No,No,No,0
CUST00450,1,MALE,26,No,No,Yes,2
CUST00451,1,MALE,75,Yes,No,Yes,2
CUST00452,1,Male,34,No,No,Yes,0
CUST00453,1,female,24,No,No,Yes,1
CUST00454,1,Female,63,No,No,No,0
CUST00455,1,MALE,30,No,Yes,No,0
CUST00456,1,Male,57,No,No,No,0
CUST00457,1,MALE,59,No,Yes,Yes,0
CUST00458,1,Male,26,No,Yes,No,0
CUST00459,1,Female,67,Yes,Yes,No,0
CUST00460,1,FEMALE,44,No,Yes,No,0
CUST00461,1,female,83,Yes,No,Yes,3
CUST00462,1,FEMALE,22,No,No,Yes,2
CUST00463,1,Male,46,No,Yes,No,0
CUST00464,1,MALE,54,No,Yes,No,0
CUST00465,1,female,55,No,No,Yes,2
CUST00466,1,Female,25,No,No,Yes,0
CUST00467,1,female,82,Yes,No,No,0
CUST00468,1,MALE,34,No,Yes,Yes,3
CUST00469,1,FEMALE,62,No,Yes,No,0
CUST00470,1,Male,21,No,Yes,Yes,1
CUST00471,1,FEMALE,53,No,No,No,0
CUST00472,1,female,48,No,Yes,No,0
CUST00473,1,MALE,36,No,Yes,No,0
CUST00474,1,Male,78,Yes,No,No,0
CUST00475,1,MALE,71,Yes,No,No,0
CUST00476,1,MALE,56,No,No,No,0
CUST00477,1,female,36,No,No,Yes,3
CUST00478,1,FEMALE,56,No,No,Yes,2
CUST00479,1,MALE,84,Yes,Yes,No,0
CUST00480,1,MALE,62,No,Yes,Yes,3
CUST00481,1,MALE,30,No,No,Yes,0
CUST00482,1,Male,75,Yes,Yes,Yes,3
CUST00483,1,MALE,37,No,No,No,0
CUST00484,1,MALE,78,Yes,Yes,No,0
CUST00485,1,female,56,No,No,Yes,0
CUST00486,1,MALE,18,No,No,Yes,3
CUST00487,1,MALE,20,No,Yes,No,0
CUST00488,1,female,79,Yes,No,No,0
CUST00489,1,Male,80,Yes,No,Yes,3
CUST00490,1,FEMALE,42,No,No,Yes,0
CUST00491,1,female,73,Yes,Yes,Yes,0
CUST00492,1,Male,50,No,Yes,Yes,1
CUST00493,1,FEMALE,55,No,No,Yes,1
CUST00494,1,MALE,23,No,Yes,Yes,3
CUST00495,1,female,75,Yes,Yes,Yes,2
CUST00496,1,MALE,61,No,No,Yes,2
CUST00497,1,female,62,No,Yes,Yes,1
CUST00498,1,FEMALE,49,No,No,No,0
CUST00499,1,Male,62,No,No,No,0
CUST00500,1,female,78,Yes,No,No,0
CUST00501,1,Male,64,No,No,Yes,1
CUST00502,1,MALE,38,No,Yes,Yes,3
CUST00503,1,MALE,53,No,No,No,0
CUST00504,1,FEMALE,36,No,Yes,Yes,0
CUST00505,1,FEMALE,37,No,Yes,Yes,0
CUST00506,1,Female,74,Yes,Yes,No,0
CUST00507,1,Female,35,No,No,No,0
CUST00508,1,FEMALE,64,No,No,No,0
CUST00509,1,MALE,66,Yes,No,Yes,0
CUST00510,1,Male,31,No,No,No,0
CUST00511,1,FEMALE,32,No,No,No,0
CUST00512,1,Male,48,No,No,Yes,2
CUST00513,1,Female,18,No,No,No,0
CUST00514,1,Male,71,Yes,Yes,Yes,2
CUST00515,1,FEMALE,20,No,Yes,Yes,2
CUST00516,1,MALE,33,No,No,Yes,2
CUST00517,1,FEMALE,74,Yes,No,Yes,0
CUST00518,1,female,29,No,Yes,Yes,3
CUST00519,1,female,33,No,No,No,0
CUST00520,1,female,41,No,Yes,No,0
CUST00521,1,MALE,45,No,Yes,Yes,3
CUST00522,1,FEMALE,25,No,No,Yes,2
CUST00523,1,female,53,No,No,No,0
CUST00524,1,FEMALE,25,No,Yes,No,0
CUST00525,1,Female,75,Yes,Yes,Yes,2
CUST00526,1,female,77,Yes,No,No,0
CUST00527,1,female,67,Yes,Yes,Yes,0
CUST00528,1,MALE,45,No,No,Yes,0
CUST00529,1,FEMALE,58,No,No,No,0
CUST00530,1,MALE,81,Yes,No,Yes,3
CUST00531,1,MALE,44,No,No,Yes,1
CUST00532,1,FEMALE,80,Yes,Yes,No,0
CUST00533,1,Female,34,No,No,No,0
CUST00534,1,FEMALE,50,No,No,No,0
CUST00535,1,Female,46,No,Yes,Yes,3
CUST00536,1,MALE,30,No,Yes,No,0
CUST00537,1,Female,63,No,Yes,Yes,3
CUST00538,1,Female,52,No,No,Yes,3
CUST00539,1,Female,23,No,Yes,Yes,0
CUST00540,1,female,64,No,Yes,Yes,2
CUST00541,1,female,42,No,No,No,0
CUST00542,1,MALE,83,Yes,Yes,Yes,0
CUST00543,1,FEMALE,27,No,Yes,No,0
CUST00544,1,Female,73,Yes,Yes,No,0
CUST00545,1,female,47,No,Yes,No,0
CUST00546,1,FEMALE,22,No,No,No,0
CUST00547,1,Female,50,No,No,No,0
CUST00548,1,FEMALE,82,Yes,No,No,0
CUST00549,1,Male,35,No,Yes,No,0
CUST00550,1,Female,66,Yes,Yes,No,0
CUST00551,1,FEMALE,28,No,Yes,No,0
CUST00552,1,Female,43,No,No,Yes,2
CUST00553,1,Female,80,Yes,Yes,No,0
CUST00554,1,Male,76,Yes,No,Yes,1
CUST00555,1,FEMALE,44,No,No,Yes,1
CUST00556,1,MALE,66,Yes,Yes,Yes,1
CUST00557,1,female,50,No,Yes,No,0
CUST00558,1,Female,18,No,Yes,No,0
CUST00559,1,Female,38,No,No,Yes,2
CUST00560,1,Female,72,Yes,Yes,No,0
CUST00561,1,Female,23,No,Yes,Yes,3
CUST00562,1,female,22,No,Yes,No,0
CUST00563,1,MALE,20,No,Yes,No,0
CUST00564,1,Male,70,Yes,Yes,Yes,2
CUST00565,1,MALE,40,No,No,No,0
CUST00566,1,female,70,Yes,Yes,No,0
CUST00567,1,FEMALE,54,No,No,Yes,1
CUST00568,1,Male,34,No,No,Yes,3
CUST00569,1,Male,18,No,Yes,No,0
CUST00570,1,FEMALE,68,Yes,No,No,0
CUST00571,1,Female,62,No,No,Yes,1
CUST00572,1,female,21,No,Yes,Yes,2
CUST00573,1,FEMALE,79,Yes,No,Yes,3
CUST00574,1,MALE,82,Yes,No,Yes,2
CUST00575,1,MALE,49,No,No,No,0
