ID,Zip Code,Population
264,73325,78946
265,57143,11573
266,75773,74548
267,12314,5008
268,98153,5955
269,70591,64175
270,69392,62412
271,93496,84258
272,90748,72495
273,38581,91248
274,53565,44680
275,67775,73562
276,37239,22527
277,40134,97591
278,23527,6016
279,53969,51115
280,22353,49759
281,71184,41352
282,82247,72266
283,59991,41951
284,14800,14062
285,68512,31573
286,23425,37352
287,82463,62431
288,62038,59873
289,21204,13138
290,59868,11524
291,68611,26886
292,51427,92787
293,97746,44624
294,31821,30911
295,80166,96245
296,42206,91376
297,45657,88859
298,93790,84034
299,14206,49039
300,68839,52291
301,12100,39835
302,86603,55896
303,65565,60139
304,47447,83218
305,70542,10600
306,61477,34708
307,35750,43981
308,80678,35056
309,60790,38127
310,64660,9718
311,92609,39453
312,42406,90293
313,84606,27947
314,95867,89525
315,33534,69381
316,38792,85759
317,23023,37866
318,36742,61203
319,46538,68060
320,54034,34533
321,27979,53917
322,40867,74716
323,43605,36498
324,85327,57888
325,82995,9557
326,60360,47872
327,77533,21957
328,91722,61514
329,68801,28983
330,66598,68510
331,11544,69885
332,13075,13947
333,30822,25191
334,79683,45759
335,68050,58843
336,97667,42764
337,46193,96728
338,29190,17639
339,48909,86372
340,53461,13686
341,21418,85132
342,30417,21903
343,35498,67690
344,30388,52630
345,97727,29060
346,82083,98261
347,86018,48126
348,96888,27703
349,93745,43039
350,51157,59315
351,53957,6626
352,13386,28632
353,72153,43894
354,71215,42117
355,36823,83318
356,20286,87440
357,33601,61795
358,62489,35048
359,77738,93023
360,38470,69764
361,18297,10809
362,15231,11932
363,96680,17309
364,44862,13511
365,44072,50545
366,48128,25630
367,55811,75205
368,49405,13470
369,23931,37464
370,80826,89484
371,61235,29702
372,69815,40455
373,48658,57429
374,45560,22484
375,65105,64079
376,59662,27596
377,39846,27942
378,92418,55187
379,37296,21267
380,85924,99764
381,32254,89861
382,38673,27515
383,26453,15327
384,70476,66295
385,55330,99618
386,56929,52715
387,43799,26400
388,40469,89450
389,19927,62080
390,45896,61859
391,12639,44645
392,75535,90593
393,96448,61788
394,89017,57988
395,23945,59170
396,23079,88091
397,37738,66675
398,30891,89891
399,49808,21693
400,73507,87176
401,51216,76652
402,65339,95094
403,52646,87632
404,90486,96084
405,77156,18421
406,31526,63988
407,22117,42395
408,77132,20465
409,27340,75262
410,22228,21755
411,24193,19802
412,97079,62570
413,70839,71004
414,41415,59377
415,39108,75359
416,97866,98611
417,45851,16875
418,70241,59386
419,86564,13143
420,25607,80172
421,84204,61507
422,90352,31632
423,90292,7165
424,92006,58350
425,25691,8821
426,29426,91766
427,22653,74705
428,11359,10301
429,55446,82042
430,49460,46009
431,34888,57511
432,70287,85112
433,90131,47685
434,66242,13459
435,27692,62899
436,58375,7428
437,12352,30649
438,94515,29379
439,65641,6298
440,57302,90779
441,95844,94853
442,87902,49745
443,87495,89096
444,85626,47909
445,57722,33639
446,65544,82638
447,46141,77910
448,47957,64029
449,74151,97847
450,37298,73938
451,75249,61254
452,16774,36361
453,25449,87334
454,61882,92821
455,19156,33840
456,25325,14070
457,94110,67691
458,43957,11216
459,28167,9469
460,36458,70980
461,49543,51011
462,57459,52372
463,35908,92683
464,82075,23041
465,88943,34686
466,34024,37508
467,74863,42812
468,13530,48355
469,13024,89560
470,30074,60369
471,53470,56171
472,67940,51206
473,79103,88165
474,70243,48921
475,35403,92624
476,63632,58030
477,21338,91496
478,41293,61953
479,56106,75805
480,21123,59428
481,14932,54150
482,89002,23496
483,46104,19357
484,20113,63445
485,65908,42891
486,36021,65775
487,98408,12174
488,53963,13156
489,34434,73115
490,90666,8567
491,78626,17743
492,11281,51664
493,84381,85293
494,39312,53709
495,33042,78374
496,84530,61370
497,40118,30221
498,24449,76139
499,86347,45441
500,49569,90870
501,21352,88411
502,14000,8638
503,11291,52712
504,91193,36366
505,67525,74664
506,97411,87364
507,90561,77355
508,95521,88600
509,53423,45062
510,55256,99328
511,78947,5684
512,73840,94261
513,66301,67787
514,70279,47873
515,64638,73284
516,23112,48400
517,32431,18091
518,31315,21522
519,59585,36733
520,82111,86815
521,16679,78714
522,97818,79481
523,98661,59886
524,25005,41469
525,30736,60569
526,70171,74740
527,29539,25325
528,41967,29825
529,52029,30620
530,80343,23593
531,87958,13233
532,32784,70602
533,90740,66495
534,64949,62223
535,79688,7619
536,55834,56129
537,14251,37098
538,96913,31626
539,66167,61167
540,40117,8468
541,79953,41815
542,62864,57394
543,12691,31077
544,13305,42000
545,50603,26868
546,61158,12244
547,71945,15947
548,26813,41914
549,28369,30629
550,82410,80890
551,59247,46909
552,80262,95561
553,94508,33156
554,71162,61167
555,77279,64052
556,57391,61357
557,37079,80765
558,17248,80318
559,96921,31768
560,53622,27716
561,98271,62346
562,55659,62961
563,88046,29849
564,95615,25080
565,34903,67229
566,11438,60683
567,85920,17986
568,10040,91806
569,82002,56118
570,54802,50531
571,56015,84285
572,61221,79408
573,36285,9455
574,63469,49185
575,76164,36224
576,73709,36246
577,32190,85858
578,85145,53031
579,95441,63297
580,40579,64104
581,60579,8719
582,40407,95867
583,45891,69735
584,10533,6142
585,30112,93876
586,21025,78607
587,38856,93639
588,62384,95362
589,47666,27869
590,25444,72391
591,98439,83373
592,35778,72253
593,51817,82859
594,49530,41778
595,69509,90535
596,22480,87520
597,71753,37252
598,44614,57827
599,24719,65347
600,29619,37605
601,55805,27853
602,88694,90865
603,95519,5975
604,72853,6754
605,89211,27742
606,24944,93674
607,81075,99738
608,42077,9241
609,23330,24055
610,95098,91230
611,75727,65754
612,94092,23126
613,82884,74911
614,62047,90594
615,80644,58536
616,61366,23117
617,36408,65961
618,10165,69945
619,85406,21219
620,81601,21076
621,95034,98730
622,27287,90354
623,65988,33705
624,59875,59096
625,30063,90967
626,89986,6951
627,91245,40282
628,21611,35902
629,63074,50681
630,83738,9396
631,46764,37641
632,61089,20808
633,85712,6718
634,73001,75121
635,87064,27642
636,81163,47151
637,82846,70539
638,54213,46155
639,71976,99030
640,14245,5683
641,84265,18554
642,80992,72065
643,83658,14634
644,21413,81795
645,27483,21597
646,64670,31756
647,38033,30099
648,80087,59941
649,76604,46088
650,15455,64220
651,79124,67179
652,42746,65505
653,46979,29124
654,14431,64716
655,79877,16137
656,24798,65546
657,92521,96387
658,31447,82966
659,14312,64005
660,48764,14345
661,27678,78860
662,30641,21436
663,72274,61363
664,66270,42471
665,68184,55897
666,76040,24229
667,49443,89227
668,96631,83041
669,75124,71471
670,23755,75560
671,73612,55212
672,79465,19663
673,42099,51969
674,21432,18182
675,78529,46368
676,75672,93326
677,60387,23064
678,28374,74749
679,23947,88750
680,73422,25580
681,76255,69863
682,95637,54059
683,23414,71516
684,48419,33275
685,69305,56428
686,19536,37044
687,27485,93690
688,32532,50852
689,37978,20302
690,84881,43684
691,56115,99680
692,91783,70938
693,29130,76481
694,92606,74719
695,45055,61771
696,76546,90390
697,44315,63196
698,44758,47645
699,92102,18364
700,57932,38814
701,61165,31175
702,29171,73462
703,45886,10172
704,78901,33072
705,18184,70387
706,59935,68430
707,66838,94260
708,31997,51566
709,42395,85597
710,78597,7861
711,41884,14066
712,12791,37265
713,90966,85541
714,91839,15565
715,30069,90794
716,59236,47076
717,19244,8194
718,18339,49976
719,41404,74529
720,38698,50642
721,98258,54859
722,58532,81552
723,12355,74211
724,17147,19695
725,81654,87026
726,51298,94298
727,98557,65889
728,31631,85981
729,83671,13805
730,25485,12465
731,65205,33641
732,11050,90734
733,52238,32094
734,95323,99571
735,18334,64718
736,60429,90535
737,40709,42878
738,13405,33040
739,69520,62086
740,63468,59978
741,72117,83728
742,56037,38818
743,77364,63143
744,87820,38484
745,99637,68680
746,55879,52985
747,85321,32521
748,46828,81916
749,12183,89121
750,24315,62868
751,30639,96911
752,48717,19962
753,56667,19270
754,60167,36667
755,22802,24860
756,41334,63481
757,56990,32870
758,49688,88000
759,62768,59649
760,58301,73168
761,27957,73504
762,73841,24055
763,28243,73275
764,97714,19155
765,45592,36350
766,77698,36405
767,52667,50519
768,53552,88493
769,66245,84178
770,50954,23110
771,41642,12029
772,88667,43368
773,53266,89293
774,70414,81785
775,38094,39026
776,14264,11135
777,10130,38454
778,87299,34275
779,40427,5796
780,59319,24726
781,14920,28023
782,88858,7069
783,65787,68263
784,30075,73265
785,88418,79578
786,42918,5000
787,48528,72715
788,25921,38914
789,29689,45390
790,68319,17422
791,66279,84810
792,23440,72041
793,40894,28563
794,53224,59915
795,81647,82393
796,89321,82761
797,12460,81217
798,21319,81756
799,85857,40531
800,62731,6296
801,59191,7447
802,66284,71962
803,75597,16756
804,10157,97977
805,24365,52739
806,11383,68906
807,66744,8465
808,86451,10154
809,10249,66951
810,14837,60090
811,71086,84359
812,85251,54703
813,36151,56659
814,79180,65828
815,83387,63892
816,11158,39619
817,21923,34071
818,58849,89505
819,51476,88570
820,96646,94166
821,60060,14925
822,38284,54813
823,22754,81721
824,28445,57790
825,97396,51581
826,44378,50717
827,46922,48192
828,32917,26776
829,93863,85020
830,82130,28309
831,49076,75775
832,56121,62410
833,65139,12662
834,78632,38371
835,51473,61402
836,36323,32442
837,30655,42896
838,28759,21158
839,51949,89858
840,15267,56051
841,22247,47669
842,51683,61607
843,18549,80285
844,82119,10333
845,98050,92779
846,26010,68333
847,97763,74800
848,83659,61565
849,73705,63043
850,51172,36244
851,42144,36991
852,70694,66816
853,84134,97168
854,97139,98012
855,28613,88855
856,38591,54212
857,54925,17368
858,69110,19131
859,55828,89420
860,40539,53620
861,84767,68493
862,18716,80667
863,26665,26424
864,52630,83585
865,94722,19678
866,13497,9920
867,40052,54287
868,63246,43131
869,82475,97421
870,77534,92984
871,41752,91746
872,29582,36143
873,76694,35494
874,44913,74702
875,76696,30699
876,80760,38169
877,22869,94523
878,22665,19059
879,32386,47077
880,66705,70498
881,39088,79441
882,78887,31071
883,41908,16298
884,45011,59045
885,31058,42041
886,39104,98058
887,58391,31696
888,48588,74583
889,91620,11241
890,31354,82248
891,44237,68492
892,76061,70460
893,81373,55980
894,32937,42899
895,80797,93698
896,74119,36565
897,16935,44608
898,69337,17059
899,42338,21170
900,49112,18639
901,78423,90229
902,95228,57560
903,13824,44172
904,93080,84168
905,91862,72020
906,31952,82141
907,68133,91588
908,97680,81354
909,66970,66493
910,81579,60610
911,40453,9040
912,66410,6459
913,67611,65402
914,84404,93413
915,79539,29035
916,92953,72489
917,37485,56938
918,49289,52259
919,88457,93633
920,83687,77462
921,28785,97922
922,37957,91290
923,39958,15527
924,79276,25439
925,17415,94561
926,85427,29678
927,74247,59735
928,50251,90377
929,12253,19647
930,51983,33956
931,79660,91106
932,82232,84308
933,36643,66759
934,30684,26249
935,27780,5096
936,32188,97580
937,97495,82117
938,30672,57947
939,87067,64530
940,86038,16330
941,41571,45624
942,61270,67277
943,65511,11307
944,45526,51232
945,16343,19573
946,74447,36699
947,22953,88156
948,23925,98027
949,92752,70912
950,46277,55568
951,49532,46563
952,37941,39641
953,26767,6289
954,71305,37128
955,24419,73227
956,41863,60242
957,82084,28860
958,32407,87689
959,19178,7291
960,71036,45832
961,29136,65936
962,74332,76610
963,42638,49232
964,65618,54491
965,62527,15164
966,22465,95188
967,10373,79793
968,43928,77344
969,53188,9496
970,75537,63357
971,95526,82914
972,67402,34728
973,36535,98292
974,72428,41286
975,56025,93124
976,56043,16876
977,95047,54635
978,37289,93113
979,98124,46867
980,25987,55962
981,64424,21213
982,37819,7565
983,41163,83647
984,68260,8672
985,95282,17271
986,83222,13451
987,12635,61594
988,71900,64317
989,80544,76177
990,56255,94048
991,55029,13209
992,18148,49653
993,79260,79569
994,12059,86666
995,62461,44972
996,13675,77170
997,76967,62922
998,25656,26409
999,57265,13070
1000,87471,24908
1001,66722,5243
1002,62705,28936
1003,81037,34432
1004,64350,61079
1005,53903,38262
1006,46259,47062
1007,16761,53412
1008,86370,43586
1009,51671,91030
1010,82903,68341
1011,55479,82637
1012,48263,66856
1013,55164,95910
1014,63918,10170
1015,88412,9281
1016,98947,96047
1017,81173,18223
1018,71059,34893
1019,66998,60369
1020,10740,13304
1021,75251,89365
1022,83243,81555
1023,58529,54587
1024,40236,74436
1025,74381,44077
1026,14977,46178
1027,16568,98516
1028,93023,83852
1029,61803,47307
1030,30731,43537
1031,33781,54644
1032,39821,30052
1033,29253,17620
1034,38210,51270
1035,92135,47131
1036,33769,43617
1037,68062,90437
1038,52129,89582
1039,41920,53763
1040,35547,46483
1041,53976,76377
1042,10617,23744
1043,25414,74684
1044,99390,41700
1045,94961,39971
1046,96832,34346
1047,37891,17996
1048,10407,40640
1049,68405,5385
1050,25205,78287
1051,54156,70504
1052,82331,80151
1053,32627,51166
1054,34722,21506
1055,67941,80087
1056,66898,20485
1057,29925,66014
1058,38914,16102
1059,82098,94519
1060,47530,53399
1061,94404,46442
1062,23442,13290
1063,59070,65865
1064,63896,19584
1065,52691,21538
1066,65945,22618
1067,18489,37613
1068,44726,74251
1069,82061,11378
1070,25703,5025
1071,15607,99018
1072,69806,34636
1073,64964,7244
1074,58717,71382
1075,44842,78014
1076,61345,95070
1077,34730,68776
1078,48871,77965
1079,97262,13013
1080,62035,73665
1081,99856,28793
1082,14123,39299
1083,55503,26150
1084,81189,74721
1085,72156,13176
1086,67904,53067
1087,57878,11482
1088,75751,96648
1089,33201,88976
1090,11192,20191
1091,50369,51727
1092,56140,26012
1093,10769,7564
1094,92924,6019
1095,79825,57270
1096,91462,89311
1097,81820,70077
1098,58261,11615
1099,38353,15593
1100,13169,6957
1101,72399,24678
1102,73497,81123
1103,94976,90982
1104,18585,24370
1105,49146,24699
1106,27693,17417
1107,70412,57122
1108,29924,16531
1109,16966,43408
1110,51042,8253
1111,20375,74852
1112,15187,67843
1113,27564,66662
1114,47655,94650
1115,26177,96453
1116,21243,62783
1117,44228,18081
1118,69166,40275
1119,19729,64833
1120,46681,80684
1121,24756,17104
1122,92681,59619
1123,95240,41439
1124,63902,70902
1125,45998,86586
1126,43632,11429
1127,32227,28922
1128,75795,22374
1129,48459,74232
1130,30076,11534
1131,25678,18435
1132,71001,79104
1133,60396,89868
1134,51626,62931
1135,68259,28390
1136,91453,82305
1137,99515,84086
1138,84370,41212
1139,31470,99272
1140,50126,42364
1141,30065,13848
1142,55996,67127
1143,32215,90732
1144,96405,57506
1145,65170,63430
1146,53007,17137
1147,99829,11881
1148,71238,37132
1149,61015,16049
1150,11564,30303
1151,72226,52043
1152,34264,64736
1153,82211,39195
1154,54793,96050
1155,91565,55133
1156,74300,8615
1157,53709,14953
1158,50028,49370
1159,65909,60037
1160,19008,82312
1161,82595,30424
1162,87074,88817
1163,40413,84313
1164,21800,32176
1165,10443,84334
1166,90613,39287
1167,97271,87186
1168,48732,52436
1169,14960,73935
1170,26776,10855
1171,14783,29631
1172,15434,52788
1173,42990,19523
1174,32383,78099
1175,26708,97514
1176,60202,24206
1177,25456,96730
1178,43470,18271
1179,94859,89514
1180,49012,27784
1181,51245,12719
1182,32919,14070
1183,42682,23299
1184,81810,82991
1185,78991,68596
1186,16198,86798
1187,71517,65367
1188,48119,69928
1189,45160,44168
1190,26575,58398
1191,89114,99685
1192,37635,39943
1193,81834,65285
1194,43161,83818
1195,62946,52029
1196,44587,86180
1197,97895,9197
1198,63536,20813
1199,92638,45547
1200,99450,89319
1201,12011,61584
1202,72112,42395
1203,16269,95707
1204,92567,80227
1205,65674,92133
1206,16375,46668
1207,36314,8333
1208,99133,46158
1209,58741,79754
1210,86439,85659
1211,13973,72801
1212,41164,66796
1213,69686,89675
1214,89670,74425
1215,18047,98912
1216,67302,89368
1217,70739,10479
1218,54131,94229
1219,63788,50472
1220,61861,19925
1221,13460,53942
1222,68599,71410
1223,75813,99437
1224,52430,53106
1225,27429,38463
1226,65799,53608
1227,51734,73109
1228,66661,94116
1229,20833,56863
1230,16623,33187
1231,98579,60651
1232,29176,50879
1233,99793,87818
1234,31328,31725
1235,11523,65803
1236,92905,10623
1237,30439,97325
1238,66004,83879
1239,27062,91770
1240,63425,31805
1241,48390,92412
1242,28811,25680
1243,77705,69169
1244,38488,45428
1245,29999,70209
1246,41391,72297
1247,70376,57064
1248,15256,19116
1249,30212,82178
1250,66297,8944
1251,38603,87872
1252,14235,33182
1253,57054,35537
1254,97465,28375
1255,32150,68193
1256,50394,12543
1257,76511,95398
1258,18522,23987
1259,52504,46457
1260,51790,81983
1261,22337,70005
1262,28273,76043
1263,60204,17002
1264,77574,74153
1265,56068,52437
1266,22219,69936
1267,33880,56315
1268,21090,14920
1269,40141,71878
1270,29896,91537
1271,76076,94505
1272,67522,97749
1273,56074,45510
1274,13353,86724
1275,18573,27071
1276,53616,54732
1277,85913,76026
1278,89928,96969
1279,42941,5445
1280,15242,38859
1281,67865,6841
1282,64088,53655
1283,23221,68975
1284,12083,66802
1285,40106,25234
1286,62985,23733
1287,62109,95819
1288,13146,9397
1289,99834,44359
1290,23991,71347
1291,83784,27381
1292,41325,33357
1293,73187,51471
1294,82021,42683
1295,67016,28493
1296,76341,45677
1297,60923,43174
1298,67784,83051
1299,62994,49746
1300,65645,91095
1301,16146,29938
1302,18100,9020
1303,94819,16431
1304,42904,56572
1305,67456,73481
1306,86114,99219
1307,51508,47891
1308,76801,96293
1309,88881,13482
1310,46145,14773
1311,85984,59546
1312,84396,20300
1313,27430,62980
1314,69216,37243
1315,87643,7046
1316,92282,34693
1317,25103,28662
1318,59504,22168
1319,82546,5153
1320,27157,90683
1321,79228,8523
1322,16013,88362
1323,66837,80830
1324,51729,39640
1325,45268,79518
1326,95209,77281
1327,43350,20738
1328,25773,12656
1329,65753,10893
1330,46606,80785
1331,35588,35622
1332,28769,41338
1333,15571,43566
1334,74999,43520
1335,54766,9793
1336,58619,70049
1337,63437,89042
1338,74728,75653
1339,66963,92908
1340,41487,29082
1341,84353,19193
1342,58456,79818
1343,81093,84706
1344,86851,18109
1345,15849,96600
1346,63409,14278
1347,67885,56297
1348,51755,54032
1349,79697,70726
1350,88151,93913
1351,30224,46302
1352,93750,98519
1353,62089,70612
1354,82366,88232
1355,89778,96653
1356,48059,83861
1357,34460,9072
1358,98176,32365
1359,57144,39101
1360,69602,89834
1361,92818,9730
1362,21993,58861
1363,82169,77375
1364,46439,48597
1365,22618,63232
1366,74552,16884
1367,20610,57963
1368,48831,60722
1369,78882,77002
1370,27322,74625
1371,64382,95577
1372,82848,62104
1373,83930,52392
1374,94072,23997
1375,55003,81740
1376,61172,49900
1377,62459,29348
1378,43260,17699
1379,81433,9778
1380,83416,75176
1381,88721,93406
1382,17216,46644
1383,28274,67037
1384,62813,15559
1385,30622,89199
1386,69481,74577
1387,44596,7819
1388,16800,25786
1389,91823,8645
1390,96347,58879
1391,58247,76101
1392,55992,59585
1393,39775,35452
1394,54544,62848
1395,82106,23248
1396,33312,47853
1397,44670,17600
1398,51486,72876
1399,83157,99086
1400,42499,97283
1401,61840,19351
1402,77801,79120
1403,20453,18968
1404,55765,80256
1405,67778,69510
1406,78731,97957
1407,96488,89319
1408,64309,10823
1409,41846,42417
1410,14793,13064
1411,48812,5485
1412,69257,84009
1413,46726,9431
1414,37064,47555
1415,13680,96810
1416,11634,72270
1417,42252,41695
1418,94355,97451
1419,15121,66560
1420,35171,43224
1421,87252,83917
1422,54945,41624
1423,73006,93104
1424,57452,53451
1425,17704,28478
1426,26775,58522
1427,26600,32250
1428,83657,10450
1429,53929,20402
1430,94094,35815
1431,88381,94304
1432,85171,96321
1433,95429,33666
1434,63305,82281
1435,98529,28831
1436,13984,44613
1437,95536,55223
1438,67758,23277
1439,92578,81775
1440,49342,15862
1441,73519,71558
1442,52933,57202
1443,54216,85164
1444,83477,89775
1445,62025,59964
1446,99817,96036
1447,49016,7677
1448,73686,32347
1449,99500,69234
1450,37075,31929
1451,44053,9706
1452,52026,93804
1453,49537,66530
1454,26711,36005
1455,78144,92697
1456,48840,8272
1457,82363,34048
1458,94505,98188
1459,10754,83097
1460,17257,94792
1461,87965,59643
1462,59260,20155
1463,76762,17005
1464,16328,31543
1465,83481,77317
1466,86284,88604
1467,31070,43982
1468,45478,75222
1469,11112,39280
1470,71373,31223
1471,36666,96028
1472,96153,63624
1473,35229,89133
1474,54438,10764
1475,67118,42693
1476,51022,26641
1477,15590,58819
1478,94868,19505
1479,50264,26428
1480,61725,8098
1481,28663,32848
1482,40206,82973
1483,21705,41778
1484,59009,16557
1485,74308,42535
1486,87013,51136
1487,84026,33541
1488,33105,97694
1489,34446,35805
1490,81215,66687
1491,10026,18198
1492,75887,40561
1493,66363,30657
1494,28156,36652
1495,96934,44727
1496,77434,95373
1497,77677,83800
1498,57365,24518
1499,44722,71383
1500,24850,92002
1501,13707,42452
1502,33263,96471
1503,46134,84395
1504,42743,93164
1505,72302,63398
1506,20994,26123
1507,54088,35996
1508,74977,58184
1509,55291,65355
1510,45704,78947
1511,24425,46897
1512,97466,85389
1513,91882,93306
1514,51621,46124
1515,58512,7050
1516,85249,27125
1517,65074,60164
1518,84055,54103
1519,32197,13918
1520,47680,45283
1521,22955,47114
1522,16007,23796
1523,85137,80551
1524,55160,57899
1525,14586,66261
1526,11606,17417
1527,35321,63851
1528,85342,68144
1529,96295,98720
1530,92944,25391
1531,10173,79809
1532,44368,90924
1533,82437,85606
1534,47947,71232
1535,87454,86718
1536,84183,79285
1537,17560,9730
1538,65529,32624
1539,67649,5870
1540,36599,99589
1541,41448,59484
1542,57773,22320
1543,73993,27225
1544,78692,57792
1545,93429,50534
1546,80665,41871
1547,98882,23821
1548,51511,19295
1549,10822,6670
1550,61837,50543
1551,28589,94060
1552,69158,64612
1553,46955,13918
1554,72433,60085
1555,86172,22418
1556,95899,91375
1557,44676,21384
1558,91101,63171
1559,21702,69028
1560,48819,43185
1561,91315,46270
1562,96808,34086
1563,95395,64622
1564,27763,72053
1565,87852,37423
1566,41348,48158
1567,50089,36517
1568,38932,21811
1569,79513,52320
1570,14765,51285
1571,57147,58870
1572,43676,43132
1573,48415,91644
1574,16407,30180
1575,40779,14168
1576,20586,51133
1577,25625,77767
1578,63239,77488
1579,26647,7965
1580,79431,98389
1581,11775,92294
1582,70628,5490
1583,76905,70490
1584,22316,96584
1585,32860,15973
1586,34821,79469
1587,56085,51563
1588,17955,14897
1589,17173,11645
1590,67286,69707
1591,98856,42712
1592,53381,87880
1593,82489,39267
1594,23783,40600
1595,45593,51420
1596,20714,46756
1597,70231,5342
1598,27022,94134
1599,46911,36991
1600,55313,99592
1601,71544,71822
1602,73544,21158
1603,57279,79032
1604,88226,8069
1605,75588,47489
1606,80855,88068
1607,40243,48337
1608,69951,15025
1609,94384,75671
1610,58841,97686
1611,70900,34823
1612,66549,78434
1613,27982,56525
1614,63262,47978
1615,12499,84115
1616,18400,96917
1617,16600,94706
1618,51051,60879
1619,15891,42642
1620,44169,79770
1621,46387,24321
1622,29303,92558
1623,80601,25185
1624,38365,50703
1625,32810,12568
1626,15088,79673
1627,95642,54778
1628,30461,86341
1629,27652,86878
1630,56049,13843
1631,65652,7029
1632,39220,59310
1633,46442,61437
1634,49320,20634
1635,43219,72878
1636,93390,71479
1637,93120,69554
1638,65786,91198
1639,36081,84566
1640,29972,69009
1641,82419,30071
1642,15246,10265
1643,88463,82510
1644,76486,42171
1645,88468,62391
1646,71609,56921
1647,74165,57876
1648,35526,58353
1649,36096,15445
1650,47128,85305
1651,28016,17646
1652,16994,59075
1653,97123,60656
1654,29616,39689
1655,84419,70464
1656,74187,73093
1657,43911,19012
1658,50763,7850
1659,82177,71281
1660,36841,37010
1661,75405,8478
1662,49777,48301
1663,15195,74283
